Date,Location / Operator,Aircraft Type / Registration,Fatalities
22-Oct-42,"Budapest, Romania
Deutsche Lufthansa","Junkers JU-52/3m
D-AYGX",17/17(0)
23-Oct-42,"Palm Springs, California
American Airlines / Military - USAF","Douglas DC-3 / Lockheed B-34
NC16017",12/13(0)
24-Oct-42,"La Esperanza, Colombia
Avianca","Boeing 247
C-144",6/6(0)
30-Oct-42,"Norway
Military - Royal Air Force","Handley Page HP-57 Halifax
W7773",10/10(0)
17-Nov-42,"Near Kranoyarsk, Russia
Kranoyarskie Vozhjushnye Trassy","Grazhdansky Vozdushnyi Flot PS-84
CCCP-L-3965",20/20(0)
12-Dec-42,"Near Tashkent, Russia
Aeroflot","Tupolev A.N.T. 20bis
SSSR-L-760",36/36(0)
15-Dec-42,"Fairfield, Utah
Western Airlines","Douglas DC-3A
NC16060",17/19(0)
19-Dec-42,"Near Vienna, Austria
DDL","Junkers JU-52/3m
OY-DAL",2/16(0)
20-Dec-42,"Near Chilliwack, British Columbia, Canada
Canadian Pacific Air Lines","Lockheed 14-H2 Super Electra
CF-CPD",13/13(0)
9-Jan-43,"Near Cabo Ruivo, Marine Base, Lisbon, Portugal
British Overseas Airways","Short S-26 (flying boat)
G-AFCK",13/15(0)
15-Jan-43,"Near Paramarino, Dutch Guyana
Military - U.S. Army Air Forces","Douglas C-54A
42-32939",35/35(0)
18-Jan-43,"Off the Brazilian coast, Atlantic Ocean
Military - U.S. Army Air Forces","Consolidated C-87
41-1708",26/26(0)
21-Jan-43,"Ukiah, California
Pan American World Airways","Martin M-130 (flying boat)
NC14715",19/19(0)
22-Jan-43,"Near Chaparra, Peru
Pan American Grace Airlines","Douglas DC-3A
NC33645",14/15(0)
9-Feb-43,"Near Gander, Newfoundland
British Overseas Airways","Consolidated 32-3 Liberator II
AL-591",19/21(0)
18-Feb-43,"Seattle, Washington
Private - Boeing Aircraft Company","Boeing XB-29
41-3",10/10(20)
22-Feb-43,"Lisbon, Portugal
Pan American World Airways","Boeing B-314 (flying boat)
NC18603",25/39(0)
11-Mar-43,"Luishui, China
China National Aviation Corporation","Douglas C-53
53",3/3(0)
13-Mar-43,"Himalaya, China
China National Aviation Corporation","Douglas C-53
49",3/3(0)
27-Mar-43,"Archerfield Aerodrome, Queensland, Australia
Military - Royal Australian Air Force","Douglas C-47-DL
A65-2",24/24(0)
4-Apr-43,"North Sea
British Overseas Airways","Lockheed C-56B Lodestar
G-AGEJ",7/7(0)
22-Apr-43,"Off Port Moresby, New Guinea
Qantas","Short S-23
VH-ADU",13/31(0)
1-Jun-43,"Off the coast of France
British Overseas Airways","Douglas DC-3
G-AGBB",17/17(0)
7-Jun-43,"Red Springs, North Carolina
Military - U.S. Army Air Forces","Douglas C-47A-DL
42-23512",20/20(0)
8-Jun-43,"Noumea, New Caledonia
Military - US Navy","Douglas C-47 Skytrain (DC-3)
12406",23/23(0)
14-Jun-43,"Near Mackay, OLD, Australia
Military - U.S. Army Air Forces","B-17C Flying Fortress
12406",40/41(0)
16-Jun-43,"Khartoum, Sudan
British Overseas Airways","Lockheed Hudson VI
FK-459",17/17(0)
30-Jun-43,"Khartoum, Sudan
British Overseas Airways","Lockheed Hudson VI
FK-618",16/16(0)
4-Jul-43,"Gibraltar
?","Consolidated Liberator B24 C
A-L-523",12/13(0)
27-Jul-43,"Naknek AFB, Alaska
Military - US Army","Douglas C-47 Skytrain
41-38643",11/11(0)
28-Jul-43,"Brandon Head, Ireland
British Overseas Airways","Short S-25 Sunderland 3 (flying boat)
G-AGES",10/25(0)
28-Jul-43,"Trammel, Kentucky
American Airlines","Douglas DC-3
NC16014",20/22(0)
1-Aug-43,"Ploesti, Romania
Military - U.S. Army Air Forces","Consolidated B-24
?",10/10(63)
7-Aug-43,"Off Townsville, Australia
Military - U.S. Air Force","Douglas C-47-DL
41-7733",27/27(0)
11-Aug-43,"Fort Hertz, China
China National Aviation Corporation","Douglas C-53
48",3/3(0)
14-Aug-43,"Rhodes, Greece
LATI","Savoia-Marchetti SM.75
I-BETA",17/17(0)
27-Aug-43,"Rio de Janeiro, Brazil
VASP","Junkers JU-52/3m
PP-SPD",18/21(0)
27-Aug-43,"North Sea
AB Aerotransport","Douglas DC-3
SE-BAF",7/7(0)
10-Sep-43,"Off Galveston, Texas
Military - U.S. Army Air Forces","Boeing B-17F / Boeing B-17F
42-4621/42-6031",22/22(0)
20-Sep-43,"Near Maxton, North Carolina
Military - U.S. Army Air Forces","Douglas C-53D-DO
42-68729",25/25(0)
22-Sep-43,"Near Calcutta, India
Military - U.S. Army Air Forces","Douglas C-53
42-6471",20/20(0)
15-Oct-43,"Near Centerville, Tennessee
American Airlines","Douglas DC3-G102
NC16088",15/15(0)
19-Oct-43,"St. Donat, Quebec, Canada
Military - Royal Canadian Air Force","Consolidated B-24
3701",24/24(0)
22-Oct-43,"Columbus, Georgia
Military - U.S. Army Air Forces","Douglas C-47-DL
42-5677",20/20(0)
22-Oct-43,"Hallo, Sweden
AB Aerotransport","Douglas DC-3
SE-BAG",13/15(0)
5-Nov-43,"Eastern Libya
British Overseas Airways","Short Sunderland 3
G-AGIB",19/19(0)
8-Nov-43,"Poona, India
Military - Indian Air Force","?
?",1/1(37)
19-Nov-43,"Kunming, China
China National Aviation Corporation","Douglas C-53
59",2/3(0)
19-Nov-43,"Kunming, China
China National Aviation Corporation","Douglas C-47
63",3/3(0)
26-Nov-43,"Port Moresby, New Guinea
Qantas","Lockheed L-18-56 Lodestar
VH-CAB",15/15(0)
17-Dec-43,"Off Montrose, Scotland
British Overseas Airways","Lockheed 18-56 Lodestar
G-AGdE",10/10(0)
18-Dec-43,"Suifu, China
China National Aviation Corporation","Douglas C-47
83",3/3(0)
19-Dec-43,"Canal Creek, Australia
Military - U.S. Air Force","Douglas C-47A-60-DL
43-30742",31/31(0)
29-Dec-43,"Lakeside, Utah
Military - U.S. Army Air Forces / Military - U.S. Army Air Forces","Consolidated B-24 / Consolidated B-24
42-7183/42-7408",25/25(0)
15-Jan-44,"Belgrad, Yugoslavia
Deutsche Lufthansa","Junkers JU-52/3m
D-ADQW",5/5(0)
10-Feb-44,"Memphis, Tennessee
American Airlines","Douglas DC-3
NC21767",24/24(0)
10-Feb-44,"Near Quelimane, Mozambique
DETA","Lockheed 14-H2 Super Electra
CR-AAV",14/14(0)
20-Feb-44,"China
China National Aviation Corporation","Douglas C-47
75",2/2(0)
21-Feb-44,"Eubeoa, Greece
Deutsche Lufthansa","Junkers JU-52/3m
D-ABAS",16/16(0)
22-Mar-44,"New Guinea
Military - U.S. Army","Consolidated B-24 Liberator
?",21/21(?)
6-Apr-44,"Near Nome, Alaska
Pan American World Airways","Pilgrim 100B
NC742N",6/6(0)
17-Apr-44,"Belgrad, Yugoslavia
Deutsche Lufthansa","Junkers JU-52/3m
D-AOCA",5/7(0)
21-Apr-44,"Frederikstad, Norway
Deutsche Lufthansa","Douglas DC-3
D-AAIG",9/20(0)
25-Apr-44,"Montreal, Canada
Military - Royal Air Force","Consolidated Liberator
?",16/16(0)
26-May-44,"Between Calcutta to Dinjan, China
China National Aviation Corporation","Douglas C-47
82",12/12(0)
27-May-44,"Off Calcutta, India
China National Aviation Corporation","Douglas DC-3
?",14/14(0)
6-Jun-44,"Barneville, France
Military - U.S. Army Air Forces","Douglas C-47A
42-93095",22/22(0)
6-Jun-44,"Flamanville, France
Military - U.S. Army Air Forces","Douglas C-47A
42-100905",22/22(0)
6-Jun-44,"Carentan, France
Military - U.S. Army Air Forces","Douglas C-47A-DL
42-101035",22/22(0)
8-Jun-44,"Kunming, China
China National Aviation Corporation","Douglas C-47
85",6/6(0)
18-Jun-44,"Kweilin, China
China National Aviation Corporation","Douglas C-47
71",2/4(0)
20-Jun-44,"Porto Alegre, Brazil
Varig","Lockheed 10C Electra
PP-VAG",10/10(0)
11-Jul-44,"Portland, Maine
Military - U.S. Army","Douglas A-26B Invader
43-22253",2/2(19)
23-Jul-44,"Nineteen miles W of Kokoda, Papua New Guinea
Military - US Navy","R4D-5
39090",17/17(0)
26-Jul-44,"North Atlantic Ocean
Military - U.S. Army Air Forces","Douglas C-54A-DO (DC-4)
42-107470",26/26(0)
27-Jul-44,"Port Logan, Scotland
Military - U.S. Army Air Forces","Douglas C-47A-DK
42-93038",22/22(0)
31-Jul-44,"Funafuti, Gilbert Islands, Pacific Ocean
Pan American Airways","Consolidated Catalina PB2Y-3R
7233",22/24(0)
3-Aug-44,"Naper, Nebraska
Military - U.S. Army Air Forces","Douglas C-47A-DL
42-23652",28/28(0)
8-Aug-44,"Off Antilla, Cuba
Pan American World Airways","Sikorsky S-42 (flying boat)
NC823M",17/31(0)
12-Aug-44,"Blythburgh, England
Military - U.S. Navy","Consolidated PB4Y-1
32271",2/2(0)
23-Aug-44,"Freckelton, England
Military - U.S. Air Force","Consolidated B-24H
42-50291",3/3(58)
28-Aug-44,"Preswick, Scotland
Military - U.S. Army Air Forces","Douglas C-54A-DC (DC-4)
42-72171",20/20(5)
29-Aug-44,"Near Lidköping, Västergötland, Swden
British Overseas Airways","Lockheed 18-56 Loadstar
G-AGIH",11/15(0)
30-Aug-44,"Sao Paulo, Brazil
Panair do Brasil","Lockheed 18 Lodestar
PP-PBI",18/18(0)
2-Sep-44,"Belgrad, Yugoslavia
Deutsche Lufthansa","Junkers JU52/3m
D-AUAW",5/5(0)
7-Sep-44,"Near Mossman, Queensland, Australia
Military - Royal Netherlands East Indies Air Force","C-47 Dakota DT-941
VH-RDK",20/20(0)
17-Sep-44,"Copeland, Kansas
Military - U.S. Army","Consolidated B-24 Liberator
?",13/13(2)
18-Sep-44,"Alaska
U. S. Air Force","Douglas C-47A-90-DL
43-15738",19/19(0)
21-Sep-44,"Rio Doce, Brazil
Panair do Brasil","Lockheed 18 Lodestar
PP-PBH",17/17(0)
27-Sep-44,"Near Dijon, France
Deutsche Lufthansa","Focke-Wulf FW 200
D-AMHL",9/9(0)
7-Oct-44,"Near Sadiya, India
China National Aviation Corporation","Douglas C-47
101",3/3(0)
10-Oct-44,"Bosnia
Deutsche Lufthansa","Junkers JU-52/3m
D-AUSS",7/7(0)
11-Oct-44,"Sydney, Australia
Qantas","Short S-23 (flying boat)
VH-ABB",1/30(0)
11-Oct-44,"Sydney, Australia
Qantas","Short S.23 Empire Flying Boat
VH-ABB",1/29(0)
16-Oct-44,"Telemark, Norway
Deutsche Lufthansa","Junkers JU-52/3m
D-ADQV",15/15(0)
17-Oct-44,"Komarom,, Hungary
Deutsche Lufthansa","Junkers JU-52/3m
D-ASHE",1/9(0)
18-Oct-44,"Birkenhead, England
Military - U.S. Army Air Forces","Consolidated B24H
42-50347",24/24(0)
4-Nov-44,"Hanford, California
Trans Continental and Western Air","Douglas DC-3
NC28310",24/24(0)
6-Nov-44,"Jacksonville, Florida
Military - US Navy","Douglas C-47 Skytrain (DC-3)
39063",17/17(0)
9-Nov-44,"Seljord, Norway
Military - U.S. Army Air Corps","?
42-52196",?/?(?)
10-Nov-44,"Near Kumming, Yunan, China
CATC","Lockheed Hudson
?",20/20(0)
19-Nov-44,"Lewes, England
Military - U.S. Army Air Forces","Douglas C-47A-DL
43-15046",25/30(0)
29-Nov-44,"Nairobi, Kenya
BOAC","Lockheed 18 LodeStar
G-AGBW",11/11(0)
29-Nov-44,"Tegucigalpa, Nicaragua
TACA","Ford 5-AT-B Tri-Motor
XH-TAN",16/16(0)
29-Nov-44,"Off Falsterbo, Sweden
Deutsche Lufthansa","Focke-Wulf FW 200
D-ARHW",10/10(0)
30-Nov-44,"Dinjan, China
China National Aviation Corporation","Douglas C-47
56",3/3(0)
1-Dec-44,"Van Nuys, California
Trans Continental and Western Air","Douglas DC-3
NC17322",9/17(0)
3-Dec-44,"Atlantic Ocean
Trans-Canada Air Lines","Avro 683 Lancaster
CF-CMU",5/5(0)
7-Dec-44,"Orlivka, Ukraine
Aeroflot","Lisunov LI-2
CCCP-L4161",16/16(0)
15-Dec-44,"English Channel
Military - U.S. Army Air Forces","UC-64A Noorduyn Norseman
44-70286",3/3(0
6-Jan-45,"Near Dinjan, India
China National Aviation Corporation","Douglas C-47
77",4/4(0)
8-Jan-45,"Port of Spain, Trinidad
Pan American World Airways","Martin M-130 (flying boat)
NC14716",23/30(0)
10-Jan-45,"Burbank, California
American Airlines","Douglas DC-3
NC25684",24/24(0)
14-Jan-45,"China
China National Aviation Corporation","Douglas C-47
70",4/6(0)
16-Jan-45,"Near Kunming, China
China National Aviation Corporation","Douglas C-47
?",3/3(0)
23-Jan-45,"Timor, Indonesia
Military - Royal Australian Air Force","Consolidated Liberator
A72-70",11/11(0)
31-Jan-45,"Redesdale, Australia
Australian National Airways","Stinson Model A
VH-UYY",10/10(0)
2-Feb-45,"Near Montieri, Italy
Military - U.S. Army Air Forces","Douglas C-47-DL
41-18603",23/26(0)
6-Feb-45,"Nunters Burgh, England
Military -Royal Air Force","Douglas C-47 Dakota
KG630",23/23(0)
13-Feb-45,"Off Oakland, California
Military - U.S. Navy","Douglas R4D-6
50765",24/24(0)
15-Feb-45,"Lagoa Santa, Brazil
Navegacao Aerea Brasileira","Lockheed 18 Loadstar
PP-NAE",11/11(0)
23-Feb-45,"Snezka mountains, Poland
Military - German Army","Junkers 52/3m
4V+DR",8/8(0)
23-Feb-45,"Marion, Virginia
American Airlines","Douglas DC-3
NC18142",17/22(0)
23-Feb-45,"Casablanca, Morocco
Military - United States Army Air Force","Curtiss C-46A
42-107377",13/30(0)
27-Mar-45,"Coral Sea, off Australia
Military - U.S. Air Force","Douglas C-47A-90-DL
43-16011",24/24(0)
9-Apr-45,"Kunming, China
China National Aviation Corporation","Douglas C-47
88",3/3(0)
14-Apr-45,"Morgantown, West Virginia
Pennsylvania Central Airlines","Douglas DC-3
NC25692",20/20(0)
19-Apr-45,"Near Perth, Australia
Military - U.S. Navy","Douglas DC-3
39067",13/13(0)
20-Apr-45,"Near Steinreich, Germany
Lufthansa","Junkers JU-53/3m
D-ANAJ",18/20(0)
20-Apr-45,"Sweetwater, Texas
Military - U.S. Army Air Forces","Douglas C-47-DL
41-18451",25/25(0)
21-Apr-45,"Near Piesenkofen, Germany
Deutsche Lufthansa","Focke-Wulf FW 200
D-ASHH",21/21(0)
23-Apr-45,"North Barrule, Isle of Man, England
Military - U.S. Air Force","B17G Flying Fortress
43-38856",31/31(0)
27-Apr-45,"Washington D.C.
Page Airways","Lockheed 18 Lodestar
NC33328",6/13(0)
5-May-45,"Manus Island, New Guinea
Military - U.S. Army Air Forces","Douglas C-54E-DO (DC-4)
44-9043",21/21(0)
6-May-45,"Hindhead, England
Military - U.S. Army Air Forces","Curtiss-Wright C-46D-CU
44-77839",30/30(1)
9-May-45,"Roye, France
Military -Royal Air Force","Avro Lancaster
RF230",31/31(0)
13-May-45,"Iran Jayas, New Guinea
Military - U.S. Army Air Forces","Douglas C-47B-DK
43-49788",20/23(0)
30-May-45,"Off Drewin, Ivory Coast
Military - U.S. Army Air Forces","Douglas C-47B-dK
44-76406",21/21(0)
15-Jun-45,"China
China National Aviation Corporation","Douglas C-47
81",3/3(0)
24-Jun-45,"Gealdton, Australia
Mac Robertson Miller Airlines","de Havilland DH-86A
VH-USF",2/11(0)
25-Jun-45,"Swanage, England
Military -Royal Air Force","Consolidated LB-30A Liberator
JT985",27/27(0)
29-Jun-45,"Bangalore, India
Military - Royal Indian Air Force","?
?",2/2(36)
30-Jun-45,"Texas
Military - U.S. Air Force","Boeing TB-29A Super Fortress
44-69943",12/12(0)
4-Jul-45,"North Atlantic Ocean
Military -Royal Air Force","Consolidated LB-30A Liberator
JT982",15/15(0)
11-Jul-45,"Near Kisumu, Kenya
Military - South African Air Force","Douglas C-47
6812",28/28(0)
12-Jul-45,"Near Florence, South Carolina
Eastern Air Lines / Military - U.S. Army Air Corps","Douglas DC-3-201C / Army A-26
NC25647",3/10(0)
28-Jul-45,"New York, New York
Military - U.S. Army Air Forces","North American B-25D bomber
43-0577",3/3(11)
1-Aug-45,"Near San Luis Potosi, Mexico
Lineas Aereas Mineras","Boeing 247D
XA-DUY",12/12(0)
3-Aug-45,"Fort de France, Martinique
Pan American World Airways","Sikorsky S-43 (flying boat)
NC15066",4/14(0)
11-Aug-45,"Ixtaccihuati, Mexico
Mexicana","Douglas DC-2-243
XA-DOT",16/16(0)
7-Sep-45,"Florence, South Carolina
Eastern Air Lines","Douglas DC-3
NC33631",22/22(0)
11-Sep-45,"Near Milne Bay, New Guinea
Military - Royal Australian Air Force","Douglas C-47A
A6556",11/11(0)
15-Sep-45,"Near Kansas, Missouri
Military - U.S. Army Air Forces","Douglas C-47B-DK
45-1011",23/24(0)
18-Sep-45,"Puncak Jaya, Papua New Guinea
Military - Royal Australian Air Force","Douglas C-47B-5-DK
A65-61",29/29(0)
28-Sep-45,"Near Chihkiang, China
Military - United States Army Air Force","Curtiss C-46D
42-101183",20/20(0)
5-Oct-45,"Lakeland, Florida
National Airlines","Lockheed 18 Lodestar
NC18199",2/15(0)
5-Oct-45,"Elvetham, England
Military -Royal Air Force","Consolidated LB-40-A Liberator
?",23/23(0)
7-Oct-45,"Rennes, France
Military - Royal Air Force","Short Stirling IV
LJ668",26/26(0)
13-Oct-45,"Melsbroek, Belgium
Military -Royal Air Force","Consolidated LB-30-A Liberator
KL595",31/31(0)
16-Oct-45,"Near Peking, China
Military - U.S. Army Air Forces","Curtiss-Wright C-46F-CU
44-78591",59/59(0)
20-Oct-45,"Between Shanghi and Canton, China
China National Aviation Corporation","Douglas C-47
?",31/31(0)
20-Oct-45,"Timor Sea, Atlantic Ocean
Military - Royal Australian Air Force","Douglas C-47B
A65-83",25/25(0)
23-Oct-45,"Near Chiringa, India
Military - Royal Air Force","Douglas C-47B
KJ957",14/14(0)
24-Oct-45,"Tarapoto, Peru
Faucett","Faucett F-19
OB-PAG-139",5/5(0)
24-Oct-45,"Valetta, Malta
BOAC","Douglas C-47 Skytrain (DC-3)
G-AGHR",9/16(0)
30-Oct-45,"Chihchiang, China
Military - U.S. Army Air Forces","Curtiss-Wright C-46A-CK
43-47228",45/50(0)
1-Nov-45,"Herrenalb, Germany
Military - U.S. Army Air Forces","Douglas C-47A-DK
42-93041",26/30(0)
3-Nov-45,"Near Chuka, India
Military - U.S. Army Air Forces","Douglas C-54G
45528A",44/44(0)
7-Nov-45,"Near Grants, New Mexico
National Skyway Freight Co.","Budd RB-1 Conestoga
?",1/3(0)
8-Nov-45,"Off Corpus Christi, Texas
Military - U.S. Navy / Military - U.S. Navy","Martin PBM-3S / Martin PBM-5
01710 / 69113",22/27(0)
9-Nov-45,"Near Boccadi, Italy
Military - U.S. Army Air Forces","Douglas C-47A-DL
42-24363",24/24(0)
11-Nov-45,"Near Picinisco, Italy
Military - U.S. Army Air Forces","Boeing B-17G
43-9197",20/20(0)
11-Nov-45,"Himalayas
Military - U.S. Army","Douglas C-54
?",44/44(0)
11-Nov-45,"Near Castel, Libya
Military -Royal Air Force","Short Stirling
PJ950",29/29(0)
13-Nov-45,"Near Tacloban, Philippines
Australian National Airways","Douglas C-48
VH-CDC",16/17(?)
15-Nov-45,"Near Jacquinot Bay New Guinea
Military - Royal Australian Air Force","Douglas C-47 Dakota-DK
A6554",28/28(0)
22-Nov-45,"White's Farm, England
Military -Royal Air Force","Consolidated LB-30A Liberator
KH126",27/27(0)
3-Dec-45,"Near Rochefort , France
Military -Royal Air Force","Consolidated LB-30A Liberator
KH125",28/28(0)
5-Dec-45,"Off the Florida coast
Military - U.S. Navy","Five Grumman TBM Avengers
?",14/14(0)
5-Dec-45,"Off Smyrna, Bahamas
Military - U.S. Navy","Martin PBM Mariner
59225",13/13(0)
8-Dec-45,"Near Billings, Montana
Military - U.S. Army","Douglas C-47
45-0922",17/21(0)
18-Dec-45,"Voksenkollen, Norway
Military - Royal Air Force","Douglas C-47B
KN413",17/17(0)
25-Dec-45,"Bangui, French Equatorial Africa
Air France","Lockheed 18 Lodestar
F-BALV",8/8(0)
25-Dec-45,"Near Dudinka, Russia
Polyarnya Aviatsiya","Douglas DC-3
?",10/10(0)
30-Dec-45,"New York City, New York
Eastern Air Lines","Douglas DC-3
NC18l23",1/12(0)
6-Jan-46,"Birmingham, Alabama
Pennsylvania Central Airlines","Douglas DC-3
N21786",3/11(0)
9-Jan-46,"Changchun, China
Military - Chinese Air Force","Douglas C-47
?",18/18(0)
14-Jan-46,"Near Netrubezh, Russia
Aeroflot","Lisunov Li-2
SSSR-4150",22/22(0)
15-Jan-46,"Marseilles, France
Military -Royal Air Force","Douglas C-47 Dakota
KN557",23/25(0)
18-Jan-46,"Cheshire, Connecticut
Eastern Air Lines","Douglas DC-3-201E
NC19970",17/17(0)
19-Jan-46,"Crowsnest Pass, Alberta, Canada
Mililtary - Royal Canadian Air Force","Douglas DC-3 Dakota
?",7/7(0)
30-Jan-46,"Near Le Mans, France
Military - Royal Air Force","Douglas C-47B
KN500",11/11(0)
31-Jan-46,"Mt. Elk, Wyoming
United Air Lines","Douglas DC-3-194H
NC25675",21/21(0)
5-Feb-46,"Negros, Philippines
Military - U.S. Army Air Forces","Douglas C-47
?",20/20(0)
21-Feb-46,"Charlottetown, PE, Canada
British Overseas Airways","Consolidated 32-2 Liberator II
G-AGEM",1/14(0)
3-Mar-46,"Live Oak Springs, California
American Airlines","Douglas DC-3-227B
NC21799",27/27(0)
5-Mar-46,"Near Prague, Czechoslovakia
Ceskoslovenske Aerolinie","Junkers JU-52/3m
OK-ZDN",12/15(0)
10-Mar-46,"Off Hobart, Tasmania
Australian National Airways","Douglas DC-3 (C-47DL)
VH-AET",25/25(0)
17-Mar-46,"Near Nanking, China
Military - Chinese Air Force","?
?",20/20(0)
18-Mar-46,"Between Chungking and Shanghai, China
China National Aviation Corporation","?
139",?/?(?)
19-Mar-46,"Hobart Mills, California
Military - U.S. Army Air Forces","Douglas C-47B
45-1085",26/26(0)
23-Mar-46,"Off Ceylon, Cocos Islands, Indian Ocean
British Overseas Airways /Qantas","Avro 691 Lancastrian 1
G-AGLX",10/10(0)
1-Apr-46,"near Craigavad, Northern Ireland
Railway Air Services Ltd.","de Hvilland 89A Dragon Rapide
G-AERZ",6/6(0)
5-Apr-46,"Rabat, Malta
Military - Royal British Navy","Vickers Wellington bomber
HE-274",4/4(16)
8-Apr-46,"Near Shensi, China
?","?
?",14/14(0)
22-Apr-46,"La Liberiad, Nicaragua
TACA","Lockheed 14 Super Electra
AN-ACC",20/21(0)
30-Apr-46,"Pindi-Khut ,India
Military - Royal Air Force","Douglas C-47A
FZ559",12/12(0)
10-May-46,"Munson, Florida
Military U.S. Navy / Military - U.S. Navy","PBY4-2 Privateer / PB4Y-2 Privateer
?",28/28(0)
16-May-46,"Richmond, Virginia
Viking Air Transport","Douglas DC-3
NC53218",27/27(0)
22-May-46,"Oslo, Norway
DNL Norwegian Air Lines","Junkers JU-52/3m
LN-LAB",13/14(0)
1-Jun-46,"Off Amalfi, Italy
Military - U.S. Army Air Forces","Douglas C-54-DO (DC-4)
44-9078",30/38(0)
9-Jun-46,"Taboga Island, Panama
Military - U.S. Army Air Forces","Douglas C-54D-DC (DC-4)
43-17231",23/23(0)
9-Jun-46,"Near Abeokuta, Nigeria
Military -Royal Air Force","Douglas C-47 Dakota
KG747",18/18(0)
29-Jun-46,"Off Malaya
Military - Royal Air Force","Douglas C-47B
KJ918",18/18(0)
29-Jun-46,"Pau, France
Air France","Junkers Ju-52/3m
F-BAJS",2/3(0)
9-Jul-46,"Holyoke, Massachusetts
Military - U.S. Army Air Forces","Boeing B17G
43-39136",25/25(0)
11-Jul-46,"Reading, Pennsylvania
Trans Continental and Western Air","Lockheed L-049 Constellation
NC86513",5/6(0)
13-Jul-46,"Tsinan, China
Central Air Transport","Curtiss C-46
?",13/49(0)
17-Jul-46,"Cuenca, Ecuador
ANDESA","Curtiss C-46D-10-CU
HC-SCA",30/30(0)
18-Jul-46,"Goodland, Kansas
Military - U.S. Army Air Corps","Douglas C-47
?",13/13(0)
20-Jul-46,"Off the Panama coast
Military - (2) U.S. Army Air Forces","Boeing B-17G / Boeing B-17G
4485624/4485626",20/20(0)
25-Jul-46,"Bassein, Burma
Military -Royal Air Force","Douglas C-47 Dakota
KN585",22/22(0)
26-Jul-46,"Near Huatesco, Veracruz, Mexico
Communicaciones Aereos de veracruz","Fairchild Pilgrim 100A
XA-DEJ",9/9(0)
7-Aug-46,"Oslo, Norway
British European Airways","Douglas C-47A-10-DK
G-AHCS",3/16(0)
9-Aug-46,"Lakehurst, New Jersey
Atlantic Central Airlines","Lockheed 18-56 Lodestar
?",4/6(0)
14-Aug-46,"Malta-Luqa, Malta
BOAC","Douglas C-47A
G-AGHT",1/5(0)
20-Aug-46,"Rouen, France
British Overseas Airways","Avro 691 Lancastrian 1
G-AGMF",8/9(0)
21-Aug-46,"Moline, Illinois
Trans Luxury Airlines","Douglas C-47-DL
N51878",2/25(0)
24-Aug-46,"Cairo, Egypt
Misrair","Avro Anson
SU-ADJ",6/9(0)
31-Aug-46,"Near Prince Rupert, British Columbia, Canada
Queen Charlotte Airlines","Supermarine Stranraer (flying boat)
CF-BYL",7/7(0)
3-Sep-46,"Holtug, Denmark
Air France","Douglas DC-3 (C-53D-DO)
F-BADB",22/22(0)
4-Sep-46,"Le Bourget, France
Air France","Douglas DC-3
F-BAXD",20/26(1)
5-Sep-46,"Elko, Nevada
Trans-Luxury Airlines","Douglas DC-3 (C-47-A5-DL)
NC57850",21/22(0)
7-Sep-46,"Bathurst, Gambia
British South American Airways","Avro 685 York I
G-AHEW",24/24(0)
7-Sep-46,"Nome, Alaska
Mt. McKinley Airfreight","Douglas C-47A
?",4/4(0)
15-Sep-46,"Estevan, Saskatchewan, Canada
Military - Royal Canadian Air Force","Douglas C-47A Dakota
962",21/21(0)
17-Sep-46,"Brussels, Belgium
Sabena","Douglas C-47-DL
OO-AUR",1/7(0)
18-Sep-46,"Near Gander, Newfoundland
Sabena","Douglas DC-4-1009
OO-CBG",27/44(0)
19-Sep-46,"Near Tripoli, Libya
Military -Royal Air Force","Avro Lancaster
NX690",25/25(0)
20-Sep-46,"Lochi Mountain, China
China National Aviation Corporation","Curtiss Wright C-46
?",28/28(0)
25-Sep-46,"Near Hong Kong International Airport
Military - Royal Air Force","Douglas C-47B-25-DK
KN414",19/19(0)
27-Sep-46,"Near Milngavie, Stirlingshire, Scotland
Railway Air Service Ltd.","de Havilland 89A Dragon Rapide
G-AFFF",7/7(0)
27-Sep-46,"Rio Doce, Brazil
Panair do Brasil","Douglas DC-3A-228D
PP-PCH",25/25(0)
3-Oct-46,"Stephenville, Newfoundland
American Overseas Airlines","Douglas C-54E-5-DO
NC90904",39/39(0)
6-Oct-46,"Off Penang, Malaya
Military -Royal Air Force","Avro 685 York 1
MW125",21/21(0)
7-Oct-46,"Apeldoorn, The Netherlands
Military - Royal Netherlands Naval Air Service","Fairey Firefly MK1
PP526",1/1(22)
8-Oct-46,"Cheyenne, Wyoming
United Air Lines","Douglas DC-4
N30051",2/41(0)
10-Oct-46,"Near Sefrou, Morocco
Air Ocean","Junkers Ju-52/3m
F-BCAA",16/16(0)
17-Oct-46,"Laramie, Wyoming
National Air Transport Services","Douglas DC-3
NC38942",13/13(0)
17-Oct-46,"Near Chitral, India
Military - Royal Air Force","Douglas C-47B
KN236",11/11(0)
23-Oct-46,"Gebel Kalamoun, Egypt
Socotra","Junkers JU-52/3m
F-BCHD",1/24(0)
1-Nov-46,"St Leger-la-Montagne, France
CTA Languedoc Roussillon","AAC-1 Toucan
F-BCAD",23/27(0)
5-Nov-46,"Near Moscow, Russia
Aeroflot","Douglas C-47
SSSR-L946",13/26(?)
11-Nov-46,"Cleveland, Ohio
United Air Lines","Douglas DC-3 (C-53D-DO)
N19947",2/20(0)
